lbl,dflt,au,ca,sg,uk
"<appname>","CenPoint","","","",""
"<appabbr>","CP","","","",""
"<appcompany>","CentralPoint Solutions","","","",""
"<supportno>","801.478.6822 opt.4","","","",""
"<supportemail>","support@cenpoint.com","","","",""
"<accountingmod>","CP Accounting","","","",""
"<lblbranch>","Branch","","","",""
"<lblbranches>","Branches","","","",""
"<lblzip>","Zip","Post","Post","Post","Post"
"<lblstate>","State","","Prov.","C.S.",""
"<lblcounty>","County","District","Region","CDC","Region"
"<lblcounties>","Counties","Districts","Regions","CDCs","Regions"
"<lblcell>","Cell","Mobile","","Mobile","Mobile"
"<lblworkerscomp>","Workers' Comp","Safety Insurance","WSIB","WICA","Safety Insurance"
"welcome","Welcome to <APPNAME> Portal","","","",""
"cust code","Company Code","","","",""
"password","Password","","","",""
"username","User Name","","","",""
"advanced","Advanced","","","",""
"server","Server","","","",""
"cur server","Current Server","","","",""
"pref server","Preferred Server","","","",""
"sign in","Sign In","","","",""
"please sign in","Please specify login information below.","","","",""
"sign in success","Sign In Succesful!","","","",""
"sign in success 2","Sign In Succesful!\nRetrieving settings, please wait...","","","",""
"sign out instruct","Click the button below to sign out of the <APPNAME> Server.","","","",""
"sign out","Sign Out","","","",""
"sign out success","You have been signed out.","","","",""
"no wos found","No Work Orders Found","","","",""
"pretrip insps","Pretrip Inspections","","","",""
"comp trains","Trainings / Certifications","","","",""
"time card rpt","Time Card Report","","","",""
"job","Job","","","",""
"cust","Cust","","","",""
"customer","Customer","","","",""
"new customer","New Customer","","","",""
"started","Started/In Route","","","",""
"started2","Started","","","",""
"arrived","Arrived","","","",""
"departed","Departed","","","",""
"completed","Completed","","","",""
"scheduled","Scheduled","","","",""
"call before going","Call before going","","","",""
"confirmed with cust","Confirmed with cust.","","","",""
"paperwork returned","Paperwork Returned","","","",""
"jan","Jan","","","",""
"feb","Feb","","","",""
"mar","Mar","","","",""
"apr","Apr","","","",""
"may","May","","","",""
"jun","Jun","","","",""
"jul","Jul","","","",""
"aug","Aug","","","",""
"sep","Sep","","","",""
"oct","Oct","","","",""
"nov","Nov","","","",""
"dec","Dec","","","",""
"january","January","","","",""
"febuary","February","","","",""
"march","March","","","",""
"april","April","","","",""
"may","May","","","",""
"june","June","","","",""
"july","July","","","",""
"august","August","","","",""
"september","September","","","",""
"october","October","","","",""
"november","November","","","",""
"december","December","","","",""
"notifications","Notifications","","","",""
"new","New","","","",""
"old","Old","","","",""
"earlier","Earlier","","","",""
"dark mode","Dark Mode","","","",""
