lbl,dflt
"<appname>","CenPoint"
"<appabbr>","CP"
"<appcompany>","CentralPoint Solutions"
"<supportno>","801.478.6822 opt.4"
"<supportemail>","support@cenpoint.com"
"<accountingmod>","CP Accounting"
"<lblbranch>","Filiale"
"<lblbranches>","Filialen"
"<lblzip>","Postleitzahl"
"<lblstate>","Staat"
"<lblcounty>","Landkreis"
"<lblcounties>","Landkreise"
"<lblcell>","Handy"
"<lblworkerscomp>","Arbeitsunfallversicherung"
"welcome","Willkommen beim <APPNAME> Portal"
"cust code","Unternehmenscode"
"password","Passwort"
"username","Nutzername"
"advanced","Fortgeschrittene"
"server","Server"
"cur server","Aktueller Server"
"pref server","Bevorzugter Server"
"sign in","Eintragen"
"please sign in","Bitte geben Sie unten Ihre Anmeldeinformationen an."
"sign in success","Erfolgreiche Anmeldung!"
"sign in success 2","Erfolgreiche Anmeldung!"
"sign out instruct","Klicken Sie auf die Schaltfläche unten, um sich vom <APPNAME> Server abzumelden."
"sign out","Abmelden"
"sign out success","Sie wurden abgemeldet."
"no wos found","Keine Arbeitsaufträge gefunden"
"pretrip insps","Inspektionen vor Fahrtantritt"
"comp trains","Schulungen / Zertifizierungen"
"time card rpt","Zeitkartenbericht"
"job","Job"
"cust","Kunde"
"customer","Kunde"
"new customer","Neukunde"
"started","Gestartet/Route"
"started2","Gestartet"
"arrived","Angekommen"
"departed","Abgereist"
"completed","Abgeschlossen"
"scheduled","Geplant"
"call before going","Vor der Fahrt anrufen"
"confirmed with cust","Bestätigt mit Kunden"
"paperwork returned","Zurückgeschickt Papiere"
"jan","Jan"
"feb","Feb"
"mar","März"
"apr","Apr"
"may","Mai"
"jun","Jun"
"jul","Jul"
"aug","Aug"
"sep","Sep"
"oct","Okt"
"nov","Nov"
"dec","Dez"
"january","Januar"
"febuary","Februar"
"march","März"
"april","April"
"may","Mai"
"june","Juni"
"july","Juli"
"august","August"
"september","September"
"october","Oktober"
"november","November"
"december","Dezember"
"notifications","Benachrichtigungen"
"new","Neu"
"old","Alte"
"earlier","Frühere"
"dark mode","Dunkler Modus"
"no notifs","Zurzeit keine Benachrichtigungen"
"previous","Vorherige"
"wo dtl","W.O. Detail"
"ok","OK"
"cancel","Abbrechen"
"mon","Mon"
"tue","Die"
"wed","Mit"
"thu","Don"
"fri","Fri"
"sat","Sam"
"sun","Son"
"monday","Montag"
"tuesday","Dienstag"
"wednesday","Mittwoch"
"thursday","Donnerstag"
"friday","Freitag"
"saturday","Samstag"
"sunday","Sonntag"
