lbl,dflt
"<appname>","CenPoint"
"<appabbr>","CP"
"<appcompany>","CentralPoint Solutions"
"<supportno>","801.478.6822 opt.4"
"<supportemail>","support@cenpoint.com"
"<accountingmod>","CP Accounting"
"<lblbranch>","Filial"
"<lblbranches>","Filiais"
"<lblzip>","Código postal"
"<lblstate>","Estado"
"<lblcounty>","Condado"
"<lblcounties>","Condados"
"<lblcell>","Celular"
"<lblworkerscomp>","Seguro de acidentes de trabalho"
"welcome","Bem-vindo ao Portal <APPNAME>"
"cust code","Código da empresa"
"password","Senha"
"username","Nome do usuário"
"advanced","Avançado"
"server","Servidor"
"cur server","Servidor atual"
"pref server","Servidor Preferido"
"sign in","Entrar"
"please sign in","Favor especificar as informações de login abaixo."
"sign in success","Assine em Succesful!"
"sign in success 2","Assine em Succesful!"
"sign out instruct","Clique no botão abaixo para sair do <APPNAME> Server."
"sign out","Sair"
"sign out success","Você já foi assinado."
"no wos found","Não foram encontradas ordens de trabalho"
"pretrip insps","Inspeções pré-viagem"
"comp trains","Treinamentos / Certificações"
"time card rpt","Relatório da folha de ponto"
"job","Emprego"
"cust","Cust"
"customer","Cliente"
"new customer","Nuevo cliente"
"started","Rota Iniciada/Em Rota"
"started2","Iniciado em"
"arrived","Chegou a"
"departed","Partiu"
"completed","Concluído"
"scheduled","Programado"
"call before going","Chamada antes de ir"
"confirmed with cust","Confirmado com cust."
"paperwork returned","Documentação devolvida"
"jan","Jan"
"feb","Fev"
"mar","Mar"
"apr","Abr"
"may","Maio"
"jun","Jun"
"jul","Jul"
"aug","Ago"
"sep","Set"
"oct","Out"
"nov","Nov"
"dec","Dez"
"january","Janeiro"
"febuary","Fevereiro"
"march","Março"
"april","Abril"
"may","Maio"
"june","Junho"
"july","Julho"
"august","Agosto"
"september","Setembro"
"october","Outubro"
"november","Novembro"
"december","Dezembro"
"notifications","Notificações"
"new","Novo"
"old","Antigo"
"earlier","Anteriormente"
"dark mode","Modo Escuro"
"no notifs","Nenhuma notificação neste momento"
"previous","Anterior"
"wo dtl","Detalhes de W.O."
"ok","OK"
"cancel","Cancelar"
"mon","Seg"
"tue","Ter"
"wed","Wed"
"thu","Thu"
"fri","Sex"
"sat","Sábado"
"sun","Sol"
"monday","Segunda-feira"
"tuesday","Terça-feira"
"wednesday","Quarta-feira"
"thursday","Quinta-feira"
"friday","Sexta-feira"
"saturday","Sábado"
"sunday","Domingo"
"report to shop","Relatório para comprar"
"techs","Techs"
"tech","Técnica"
"technician","Técnico"
"technicians","Técnicos"
