lbl,dflt,la
"<appname>","CenPoint",""
"<appabbr>","CP",""
"<appcompany>","CentralPoint Solutions",""
"<supportno>","801.478.6822 opt.4",""
"<supportemail>","support@cenpoint.com",""
"<accountingmod>","CP Accounting",""
"<lblbranch>","Sucursal",""
"<lblbranches>","Sucursales",""
"<lblzip>","Código postal",""
"<lblstate>","Estado",""
"<lblcounty>","Condado",""
"<lblcounties>","Condados",""
"<lblcell>","Móvil",""
"<lblworkerscomp>","Compensación a los trabajadores",""
"welcome","Bienvenido al Portal <APPNAME>",""
"cust code","Código de la compañía","Codigo de la compañia"
"password","Contraseña",""
"username","Nombre de usuario",""
"advanced","Avanzado",""
"server","Servidor",""
"cur server","Servidor actual",""
"pref server","Servidor preferido",""
"sign in","Registrarse","Iniciar sesión"
"please sign in","Especifique los datos de acceso a continuación.","Especifique a continuación los datos de inicio de sesión."
"sign in success","¡Inicio de sesión exitoso!",""
"sign in success 2","¡Inicio de sesión exitoso!",""
"sign out instruct","Haga clic en el botón de abajo para salir del Servidor de <APPNAME>.","Haga clic en el siguiente botón para cerrar sesión en el servidor de <APPNAME>."
"sign out","Cerrar sesión",""
"sign out success","Se ha cerrado la sesión.","Has cerrado la sesión."
"no wos found","No se han encontrado órdenes de trabajo","No se encontraron órdenes de trabajo"
"pretrip insps","Inspecciones previas al viaje",""
"comp trains","Formaciones / Certificaciones","Capacitaciones / Certificaciones"
"time card rpt","Informe de tarjeta de tiempo",""
"job","Trabajo",""
"cust","Cliente",""
"customer","Cliente",""
"new customer","Nuevo cliente",""
"started","Iniciado/En ruta",""
"started2","Iniciado",""
"arrived","Llegado",""
"departed","Salido",""
"completed","Completado",""
"scheduled","Programado",""
"call before going","Llamar antes de ir",""
"confirmed with cust","Confirmado con el cliente.",""
"paperwork returned","Documentación devuelta",""
"jan","Ene",""
"feb","Feb",""
"mar","Mar",""
"apr","Abr",""
"may","May",""
"jun","Jun",""
"jul","Jul",""
"aug","Ago",""
"sep","Sep",""
"oct","Oct",""
"nov","Nov",""
"dec","Dic",""
"january","Enero",""
"febuary","Febrero",""
"march","Marzo",""
"april","Abril",""
"may","May",""
"june","Junio",""
"july","Julio",""
"august","Agosto",""
"september","Septiembre",""
"october","Octubre",""
"november","Noviembre",""
"december","Diciembre",""
"notifications","Notificaciones",""
"new","Nuevo",""
"old","Antiguo",""
"earlier","Anteriormente",""
"dark mode","Modo oscuro",""
"no notifs","No hay notificaciones en este momento",""
"previous","Anterior",""
"wo dtl","Detalle de la orden de trabajo",""
